metric,value
total_records_processed,100
valid_records,95
invalid_records,5
category_LOST_PARCEL,14
category_DELAYED_DELIVERY,38
category_WRONG_ADDRESS,19
category_RETURN_REQUEST,17
category_DAMAGE,7
status_OPEN,29
status_CLOSED,52
status_DISCARDED,14
country_US,50
country_ES,45
average_closed_satisfaction,3.06
invalid_reason_closed_without_satisfaction_score,1
invalid_reason_invalid_missing_carrier_or_carrier_country_mismatch,1
invalid_reason_invalid_missing_category,1
invalid_reason_invalid_missing_email,1
invalid_reason_invalid_missing_tracking_number,1
